timestamp,open,high,low,close,volume,support,resis
2023-12-22 08:00:00,0.27259,0.27259,0.27259,0.27259,2000.0,0.074809,4.7863
2023-12-22 12:00:00,0.2719,0.28227,0.22734,0.2576,1620074.0,0.074809,4.7863
2023-12-22 16:00:00,0.26858,0.27507,0.22087,0.22146,341926.0,0.074809,4.7863
2023-12-22 20:00:00,0.22286,0.22416,0.1237,0.16728,832359.0,0.074809,4.7863
2023-12-23 00:00:00,0.15581,0.24925,0.15581,0.17835,1421986.0,0.074809,4.7863
2023-12-23 04:00:00,0.17411,0.19217,0.16474,0.1827,140714.0,0.074809,4.7863
2023-12-23 08:00:00,0.17344,0.18802,0.15985,0.16246,494856.0,0.074809,4.7863
2023-12-23 12:00:00,0.16049,0.24495,0.14135,0.217,612309.0,0.074809,4.7863
2023-12-23 16:00:00,0.21437,0.248,0.19989,0.24473,247838.0,0.074809,4.7863
2023-12-23 20:00:00,0.23065,0.23743,0.21,0.21209,1038992.0,0.074809,4.7863
2023-12-24 00:00:00,0.2101,0.2101,0.16286,0.16286,661546.0,0.074809,4.7863
2023-12-24 04:00:00,0.16788,0.19507,0.15,0.15937,446294.0,0.074809,4.7863
2023-12-24 08:00:00,0.15976,0.16524,0.15465,0.1577,320019.0,0.074809,4.7863
2023-12-24 12:00:00,0.15128,0.192,0.15119,0.16796,882384.0,0.074809,4.7863
2023-12-24 16:00:00,0.172,0.172,0.14028,0.14415,316413.0,0.074809,4.7863
2023-12-24 20:00:00,0.14,0.21476,0.12786,0.19021,1293333.0,0.074809,4.7863
2023-12-25 00:00:00,0.17722,0.26621,0.17484,0.216,794266.0,0.074809,4.7863
2023-12-25 04:00:00,0.21603,0.24829,0.21168,0.24504,359238.0,0.074809,4.7863
2023-12-25 08:00:00,0.24395,0.24395,0.19034,0.21448,123799.0,0.074809,4.7863
2023-12-25 12:00:00,0.21448,0.22762,0.20421,0.22,191417.0,0.074809,4.7863
2023-12-25 16:00:00,0.2236,0.22388,0.19572,0.19577,71133.0,0.074809,4.7863
2023-12-25 20:00:00,0.19698,0.20298,0.17969,0.18012,407305.0,0.074809,4.7863
