timestamp,open,high,low,close,volume,support,resis
2024-04-28 00:00:00,0.47573,0.4851,0.47427,0.48026,205254.0,0.33877,0.69843
2024-04-28 04:00:00,0.48025,0.48176,0.45101,0.45377,1093799.0,0.33877,0.69843
2024-04-28 08:00:00,0.45478,0.49559,0.4462,0.49071,1370593.0,0.33877,0.69843
2024-04-28 12:00:00,0.492,0.50429,0.472,0.472,747099.0,0.33877,0.69843
2024-04-28 16:00:00,0.47198,0.4769,0.43933,0.45064,325792.0,0.33877,0.69843
2024-04-28 20:00:00,0.45752,0.45752,0.42142,0.43227,337649.0,0.33877,0.69843
2024-04-29 00:00:00,0.4305,0.43775,0.40405,0.41133,1382470.0,0.33877,0.69843
2024-04-29 04:00:00,0.40703,0.41455,0.38781,0.39901,361734.0,0.33877,0.69843
2024-04-29 08:00:00,0.39864,0.42844,0.38654,0.41066,235850.0,0.33877,0.69843
2024-04-29 12:00:00,0.41121,0.41121,0.36484,0.37694,1102704.0,0.33877,0.69843
2024-04-29 16:00:00,0.38591,0.48236,0.38152,0.44951,1198431.0,0.33877,0.69843
2024-04-29 20:00:00,0.43775,0.46196,0.41402,0.42935,700686.0,0.33877,0.69843
2024-04-30 00:00:00,0.42902,0.42931,0.39178,0.4051,633757.0,0.33877,0.69843
2024-04-30 04:00:00,0.40874,0.41055,0.37003,0.37137,582985.0,0.33877,0.69843
2024-04-30 08:00:00,0.37259,0.3862,0.34377,0.35357,620087.0,0.33877,0.69843
2024-04-30 12:00:00,0.35234,0.37186,0.32017,0.35286,1279469.0,0.33877,0.69843
2024-04-30 16:00:00,0.35581,0.40539,0.35501,0.38237,356299.0,0.33877,0.69843
2024-04-30 20:00:00,0.38666,0.39372,0.36172,0.39171,737968.0,0.33877,0.69843
2024-05-01 00:00:00,0.40492,0.40589,0.34646,0.34861,320404.0,0.33877,0.69843
2024-05-01 04:00:00,0.34945,0.38144,0.33739,0.36559,309063.0,0.33877,0.69843
2024-05-01 08:00:00,0.37804,0.40903,0.3733,0.40558,727698.0,0.33877,0.69843
2024-05-01 12:00:00,0.40585,0.49149,0.39521,0.44349,1946734.0,0.33877,0.69843
2024-05-01 16:00:00,0.44251,0.48452,0.44251,0.47432,861805.0,0.33877,0.69843
2024-05-01 20:00:00,0.47271,0.49267,0.44256,0.45234,1391053.0,0.33877,0.69843
2024-05-02 00:00:00,0.45098,0.50121,0.44407,0.48616,502475.0,0.33877,0.69843
2024-05-02 04:00:00,0.48601,0.54899,0.47341,0.54345,661197.0,0.33877,0.69843
2024-05-02 08:00:00,0.54255,0.66575,0.539,0.60412,1814001.0,0.33877,0.69843
2024-05-02 12:00:00,0.60684,0.63191,0.57692,0.59499,1406604.0,0.33877,0.69843
2024-05-02 16:00:00,0.59451,0.62316,0.57922,0.59346,1637462.0,0.33877,0.69843
2024-05-02 20:00:00,0.59838,0.61792,0.57944,0.59437,531849.0,0.33877,0.69843
2024-05-03 00:00:00,0.59532,0.6072,0.5404,0.54735,698676.0,0.33877,0.69843
2024-05-03 04:00:00,0.55167,0.56382,0.53608,0.55278,556882.0,0.33877,0.69843
2024-05-03 08:00:00,0.55217,0.61928,0.54188,0.56248,1244482.0,0.33877,0.69843
2024-05-03 12:00:00,0.56169,0.58282,0.51914,0.56583,1098591.0,0.33877,0.69843
2024-05-03 16:00:00,0.56468,0.60798,0.55677,0.58952,649857.0,0.33877,0.69843
2024-05-03 20:00:00,0.5894,0.68854,0.57481,0.65565,877184.0,0.33877,0.69843
2024-05-04 00:00:00,0.66109,0.67563,0.61214,0.62225,1477073.0,0.33877,0.69843
2024-05-04 04:00:00,0.62156,0.70553,0.62094,0.69843,327806.0,0.33877,0.69843
2024-05-04 08:00:00,0.6914,0.73183,0.66895,0.67626,793814.0,0.33877,0.69843
2024-05-04 12:00:00,0.68005,0.6996,0.65557,0.67585,375901.0,0.33877,0.69843
2024-05-04 16:00:00,0.67584,0.68,0.64836,0.65282,263763.0,0.33877,0.69843
2024-05-04 20:00:00,0.66,0.6618,0.61471,0.61916,753872.0,0.33877,0.69843
2024-05-05 00:00:00,0.61946,0.65228,0.5448,0.58522,1608055.0,0.33877,0.69843
2024-05-05 04:00:00,0.58561,0.59074,0.54305,0.54682,1169722.0,0.33877,0.69843
2024-05-05 08:00:00,0.54642,0.61201,0.50181,0.61069,1577409.0,0.33877,0.69843
2024-05-05 12:00:00,0.6103,0.6389,0.574,0.61172,1480166.0,0.33877,0.69843
2024-05-05 16:00:00,0.61199,0.66039,0.60812,0.61819,891051.0,0.33877,0.69843
2024-05-05 20:00:00,0.61938,0.64519,0.59133,0.59914,781207.0,0.33877,0.69843
2024-05-06 00:00:00,0.59984,0.6515,0.59379,0.63232,458153.0,0.33877,0.69843
2024-05-06 04:00:00,0.63054,0.6613,0.6041,0.61038,1011479.0,0.33877,0.69843
2024-05-06 08:00:00,0.609,0.60991,0.55619,0.59265,684494.0,0.33877,0.69843
2024-05-06 12:00:00,0.59183,0.59628,0.5373,0.56395,964267.0,0.33877,0.69843
2024-05-06 16:00:00,0.56394,0.57805,0.54762,0.54822,331890.0,0.33877,0.69843
2024-05-06 20:00:00,0.54832,0.57203,0.53417,0.53884,740283.0,0.33877,0.69843
2024-05-07 00:00:00,0.5395,0.56616,0.52813,0.55966,365783.0,0.33877,0.69843
2024-05-07 04:00:00,0.56105,0.5996,0.54341,0.54918,596651.0,0.33877,0.69843
2024-05-07 08:00:00,0.54957,0.55344,0.50647,0.549,327970.0,0.33877,0.69843
2024-05-07 12:00:00,0.54864,0.56459,0.5154,0.5171,380752.0,0.33877,0.69843
2024-05-07 16:00:00,0.51868,0.52623,0.48283,0.48436,1098279.0,0.33877,0.69843
2024-05-07 20:00:00,0.48473,0.49647,0.45775,0.48614,396208.0,0.33877,0.69843
2024-05-08 00:00:00,0.48674,0.51401,0.46075,0.49939,570876.0,0.33877,0.69843
2024-05-08 04:00:00,0.50038,0.5101,0.46164,0.47239,502233.0,0.33877,0.69843
2024-05-08 08:00:00,0.47339,0.49392,0.4466,0.4739,592773.0,0.33877,0.69843
2024-05-08 12:00:00,0.47066,0.50554,0.45831,0.47236,551726.0,0.33877,0.69843
2024-05-08 16:00:00,0.4735,0.47697,0.42954,0.45142,2246124.0,0.33877,0.69843
2024-05-08 20:00:00,0.4506,0.46283,0.44478,0.45685,575198.0,0.33877,0.69843
2024-05-09 00:00:00,0.45889,0.47082,0.44041,0.44656,531217.0,0.33877,0.69843
2024-05-09 04:00:00,0.44596,0.45101,0.42669,0.45051,650027.0,0.33877,0.69843
2024-05-09 08:00:00,0.45343,0.54078,0.45096,0.51857,2228168.0,0.33877,0.69843
2024-05-09 12:00:00,0.51988,0.55636,0.50206,0.55591,1985284.0,0.33877,0.69843
2024-05-09 16:00:00,0.55641,0.57193,0.53125,0.54094,1701700.0,0.33877,0.69843
2024-05-09 20:00:00,0.53946,0.58683,0.50631,0.58505,1742269.0,0.33877,0.69843
2024-05-10 00:00:00,0.58326,0.58606,0.55757,0.57609,523881.0,0.33877,0.69843
2024-05-10 04:00:00,0.57554,0.57985,0.51748,0.54218,511200.0,0.33877,0.69843
